,Player,Country,Draft Position,1st Season,HOF,GP,W,Career Save %,GAA
167,Damian Rhodes,USA,112.0,19901991,N,309,99,0.9051,2.749
168,Glenn Resch,CAN,,19731974,N,571,231,0.8939285714285715,3.1885714285714286
169,James Reimer,CAN,99.0,20102011,N,385,173,0.9125454545454544,2.8045454545454547
170,Jeff Reese,CAN,67.0,19871988,N,174,53,0.8689090909090909,3.969090909090909
173,Eldon Reddick,CAN,,19861987,N,132,46,0.8614999999999999,4.171666666666667
174,Daryl Reaugh,CAN,42.0,19841985,N,27,8,0.8743333333333334,4.326666666666667
177,Andrew Raycroft,CAN,135.0,20002001,N,280,113,0.8991818181818182,2.972727272727273
178,Tuukka Rask,FIN,21.0,20072008,N,560,306,0.9247142857142858,2.165
179,Bill Ranford,CAN,52.0,19851986,N,647,240,0.8902,3.318
180,Karri Ramo,FIN,191.0,20062007,N,159,60,0.8918333333333334,3.0033333333333334
183,Andre Racicot,CAN,83.0,19891990,N,68,26,0.8034000000000001,5.680000000000001
184,Antti Raanta,FIN,,20132014,N,198,93,0.917,2.52625
185,Jonathan Quick,USA,72.0,20072008,N,666,336,0.9074285714285716,2.551428571428571
187,Daren Puppa,CAN,74.0,19851986,N,429,179,0.8888,3.2633333333333336
188,Martin Prusek,CZE,164.0,20012002,N,57,31,0.87675,2.6575
192,Carey Price,CAN,5.0,20072008,N,707,360,0.9161428571428571,2.5092857142857143
193,Kevin Poulin,CAN,126.0,20102011,N,50,18,0.9,2.914
194,Felix Potvin,CAN,31.0,19911992,N,635,266,0.9054615384615384,2.766923076923077
197,Michel Plasse,CAN,1.0,19701971,N,298,92,0.8757272727272727,3.882727272727273
198,Jacques Plante,CAN,,19521953,Y,837,437,0.9197333333333334,2.302777777777778
199,Frank Pietrangelo,CAN,63.0,19871988,N,141,46,0.8748571428571428,4.05
201,Calvin Pickard,CAN,49.0,20142015,N,113,34,0.8801428571428572,3.457142857142857
202,Jim Pettie,CAN,142.0,19761977,N,21,9,0.8416666666666667,4.196666666666666
203,Cal Petersen,USA,129.0,20182019,N,54,19,0.919,2.7133333333333334
204,Justin Peters,CAN,38.0,20092010,N,83,25,0.9002857142857144,3.0942857142857143
205,Bob Perreault,CAN,,19551956,N,31,8,0.927,2.9433333333333334
206,Steve Penney,CAN,166.0,19831984,N,91,35,0.8400000000000001,4.302
209,Pete Peeters,CAN,135.0,19781979,N,489,246,0.8843076923076924,3.144615384615385
211,Ondrej Pavelec,CZE,41.0,20072008,N,398,156,0.9035454545454544,3.01
213,Steve Passmore,CAN,196.0,19981999,N,93,23,0.8941666666666667,2.8800000000000003
